N,k,sr_train,sr_oos,sr_train_sd,panel
100,5,1.5401827429332644,1.60151930168474,0.22735192062645362,SYN0-04
100,8,1.6625205013828748,1.866440165673152,0.23064681220822927,SYN0-04
100,12,1.7697042782738615,2.0308904406680317,0.2280511488018648,SYN0-04
100,20,1.7674214933040429,2.369928485756859,0.24442925325377457,SYN0-04
200,1,1.1928377213712733,1.4043352190538252,0.09870713880118481,SYN0-04
200,2,1.415969758014598,1.3220996606144175,0.21179964978671678,SYN0-04
200,3,1.4750323564710488,1.3163253199597527,0.19938903308463266,SYN0-04
200,5,1.6154169047856948,1.4323648996950502,0.1695070803300977,SYN0-04
200,8,1.765824112986042,1.7074470935096422,0.2018883963084805,SYN0-04
200,12,1.8344483619552765,1.969715211250998,0.2262498062722664,SYN0-04
200,20,1.989729845233992,2.198447427317021,0.16798711295758942,SYN0-04
400,1,1.275297540823779,1.8936053830267547,0.05729235969159523,SYN0-04
400,2,1.5631700408477236,2.286534216358531,0.12127400234002791,SYN0-04
400,3,1.6505006177687216,1.5602519001758646,0.1915469612512786,SYN0-04
400,5,1.5923280506225028,1.0432638660720257,0.1341902015648767,SYN0-04
400,8,1.7058198142369327,1.4993071304944647,0.09345331906395721,SYN0-04
400,12,1.8983785384824086,1.6291472523108768,0.17504171328349244,SYN0-04
400,20,2.0363596908167274,2.018331027626425,0.10747634913783752,SYN0-04
25,1,1.0203331017405095,0.23957034678812278,0.352602360956456,SYN0-05
25,2,1.164472933759839,0.48243772762109755,0.3592333626588887,SYN0-05
25,3,1.1711646358394858,0.5891162471075784,0.38827891962826194,SYN0-05
25,5,1.0502160432723648,0.740456542119758,0.39214893200765033,SYN0-05
25,8,0.8565787092381335,1.0045512714319818,0.35051583321036006,SYN0-05
25,12,0.6597131179970002,1.171177468963258,0.28825784366771773,SYN0-05
25,20,0.2666615503745839,1.1861750350043205,0.32730521355335906,SYN0-05
50,1,1.2393665051841176,0.045261451636923446,0.3240275245601252,SYN0-05
50,2,1.390972100314526,0.2618765601260715,0.32390858551984264,SYN0-05
50,3,1.4778683972639377,0.41879934040185035,0.3525574530175212,SYN0-05
50,5,1.504341982946055,0.656301968948329,0.3858320916299188,SYN0-05
50,8,1.4106344956591994,0.9103767668575342,0.4357185871739321,SYN0-05
50,12,1.1259866476267677,1.024631841699971,0.3626187971081228,SYN0-05
50,20,0.8561453805578284,1.276657147011964,0.2951239732692977,SYN0-05
100,1,1.4692661958759532,-0.15845835221159696,0.27595172147934804,SYN0-05
100,2,1.6040765961601609,0.11158745030076353,0.29927642502763846,SYN0-05
100,3,1.7223199636206417,0.2749252830041014,0.2815718085087772,SYN0-05
100,5,1.8722667534315907,0.49034355953710423,0.3074635704107909,SYN0-05
100,8,1.941812425605754,0.744602605918704,0.3675817814846105,SYN0-05
100,12,1.8078285438673447,0.8821469212122807,0.44154527725283216,SYN0-05
100,20,1.4138470355423545,1.163619070085109,0.3935630680466135,SYN0-05
200,1,1.6092018826756251,-0.4430950142352493,0.2374818358248278,SYN0-05
200,2,1.8105982941615075,-0.1507972440201025,0.3785782354230661,SYN0-05
200,3,1.835865235244531,0.1406676465683199,0.31454658522831297,SYN0-05
200,5,2.025288535507437,0.3682439750985803,0.2793778687274259,SYN0-05
200,8,2.2698907604252003,0.4923295424803837,0.2919282051230509,SYN0-05
200,12,2.3779600101776905,0.7244822281770544,0.3282391183066149,SYN0-05
200,20,2.2896744566740623,1.082123397943028,0.3931835007651706,SYN0-05
400,1,1.7900810166688095,-0.4017475041860987,0.10019654204449907,SYN0-05
400,2,2.1564836142470916,-0.9044215895937588,0.403488911045478,SYN0-05
400,3,1.8921033591047631,-0.8246635472894084,0.33816667734648065,SYN0-05
400,5,1.7656981076949358,0.11421278416168143,0.23081890390251975,SYN0-05
400,8,2.3426034534060474,0.432932029512353,0.22087478203043864,SYN0-05
400,12,2.716244745006418,0.4392409587704202,0.1477815304170532,SYN0-05
400,20,2.9387815765720404,0.5677776086522671,0.20157770244191348,SYN0-05
25,1,0.9729358561109726,0.908827960385539,0.25498136333919913,SYN0-06
25,2,1.0580355572752382,1.0460009061949593,0.28502983425700956,SYN0-06
25,3,1.043521473454201,1.0285778405864057,0.2940239190739008,SYN0-06
