run,arm,panel,setting,rule,sr_is,sr_oos,decay
OPTM-SYN0-00-s9001,OPT-medium,SYN0-00,SYN0,chosen,2.3409702129174463,0.30212014516352426,2.038850067753922
OPTM-SYN0-00-s9001,OPT-medium,SYN0-00,SYN0,argmax,2.3409702129174463,0.30212014516352426,2.038850067753922
OPTM-SYN0-00-s9002,OPT-medium,SYN0-00,SYN0,chosen,1.581091575283016,-0.02964597163378616,1.6107375469168022
OPTM-SYN0-00-s9002,OPT-medium,SYN0-00,SYN0,argmax,1.581091575283016,-0.02964597163378616,1.6107375469168022
OPTM-SYN0-01-s9000,OPT-medium,SYN0-01,SYN0,chosen,1.3325937793561613,-0.5429881414383047,1.875581920794466
OPTM-SYN0-01-s9000,OPT-medium,SYN0-01,SYN0,argmax,1.3325937793561613,-0.5429881414383047,1.875581920794466
OPTM-SYN0-01-s9001,OPT-medium,SYN0-01,SYN0,chosen,1.5565148362102914,-0.5305950043376951,2.0871098405479866
OPTM-SYN0-01-s9001,OPT-medium,SYN0-01,SYN0,argmax,1.5565148362102914,-0.5305950043376951,2.0871098405479866
OPTM-SYN0-01-s9002,OPT-medium,SYN0-01,SYN0,chosen,1.3316928495228473,-0.849344830659269,2.1810376801821163
OPTM-SYN0-01-s9002,OPT-medium,SYN0-01,SYN0,argmax,1.3316928495228473,-0.849344830659269,2.1810376801821163
OPTM-SYN0-02-s9000,OPT-medium,SYN0-02,SYN0,chosen,2.066478113106534,-0.3873471297446024,2.4538252428511362
OPTM-SYN0-02-s9000,OPT-medium,SYN0-02,SYN0,argmax,2.066478113106534,-0.3873471297446024,2.4538252428511362
OPTM-SYN0-02-s9001,OPT-medium,SYN0-02,SYN0,chosen,1.3018576293971322,-0.2088433279997347,1.510700957396867
OPTM-SYN0-02-s9001,OPT-medium,SYN0-02,SYN0,argmax,1.3018576293971322,-0.2088433279997347,1.510700957396867
OPTM-SYN0-02-s9002,OPT-medium,SYN0-02,SYN0,chosen,1.106446434594387,-1.1035733801878977,2.2100198147822847
OPTM-SYN0-02-s9002,OPT-medium,SYN0-02,SYN0,argmax,1.106446434594387,-1.1035733801878977,2.2100198147822847
OPTM-SYN0-03-s9000,OPT-medium,SYN0-03,SYN0,chosen,1.6203252116832267,0.11520283623233064,1.505122375450896
OPTM-SYN0-03-s9000,OPT-medium,SYN0-03,SYN0,argmax,1.6203252116832267,0.11520283623233064,1.505122375450896
OPTM-SYN0-03-s9001,OPT-medium,SYN0-03,SYN0,chosen,1.2002821780391804,-0.38356413591392663,1.583846313953107
OPTM-SYN0-03-s9001,OPT-medium,SYN0-03,SYN0,argmax,1.2002821780391804,-0.38356413591392663,1.583846313953107
OPTM-SYN0-03-s9002,OPT-medium,SYN0-03,SYN0,chosen,1.9306784420421277,0.13402683122068731,1.7966516108214403
OPTM-SYN0-03-s9002,OPT-medium,SYN0-03,SYN0,argmax,1.9306784420421277,0.13402683122068731,1.7966516108214403
OPTM-SYN0-04-s9000,OPT-medium,SYN0-04,SYN0,chosen,1.4340535101978085,0.021590951427688524,1.4124625587701198
OPTM-SYN0-04-s9000,OPT-medium,SYN0-04,SYN0,argmax,1.4340535101978085,0.021590951427688524,1.4124625587701198
OPTM-SYN0-04-s9001,OPT-medium,SYN0-04,SYN0,chosen,1.962734184297311,2.137948634198866,-0.1752144499015551
OPTM-SYN0-04-s9001,OPT-medium,SYN0-04,SYN0,argmax,1.962734184297311,2.137948634198866,-0.1752144499015551
OPTM-SYN0-04-s9002,OPT-medium,SYN0-04,SYN0,chosen,1.2978382315333246,1.907025762918502,-0.6091875313851773
OPTM-SYN0-04-s9002,OPT-medium,SYN0-04,SYN0,argmax,1.2978382315333246,1.907025762918502,-0.6091875313851773
OPTM-SYN0-05-s9000,OPT-medium,SYN0-05,SYN0,chosen,1.5914166641629204,1.1774335259905027,0.4139831381724177
OPTM-SYN0-05-s9000,OPT-medium,SYN0-05,SYN0,argmax,1.5914166641629204,1.1774335259905027,0.4139831381724177
OPTM-SYN0-05-s9001,OPT-medium,SYN0-05,SYN0,chosen,1.4558459016874312,1.3574504717171738,0.09839542997025741
OPTM-SYN0-05-s9001,OPT-medium,SYN0-05,SYN0,argmax,1.4558459016874312,1.3574504717171738,0.09839542997025741
